name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Berlin,2025-05-22T00:00:00,14,14,5,54.61,0,0,,0,0,31,13,280,1007,95.1,10,0,0,0,10,Overcast,cloudy,"EDDB,E2835"
Berlin,2025-05-22T01:00:00,14,14,6,58.53,0,0,,0,0,29.9,18.4,310,1007,97.2,10,0,0,0,10,Overcast,cloudy,"EDDB,E2835"
Berlin,2025-05-22T02:00:00,12,12,5,62.24,0,0,,0,0,23.8,20.5,310,1007,100,10,0,0,0,10,Overcast,cloudy,"EDDB,E2835"
Berlin,2025-05-22T03:00:00,11,11,5,66.49,0,0,,0,0,25.2,11.2,270,1007,100,10,0,0,0,10,Overcast,cloudy,"EDDB,E2835"
Berlin,2025-05-22T04:00:00,11,11,5,66.49,0,0,,0,0,25.6,14.8,280,1007,99.7,10,0,0,0,10,Overcast,cloudy,"EDDB,E2835"
Berlin,2025-05-22T05:00:00,10,7.1,5,71.08,0,0,,0,0,28.8,22.3,290,1007,92.4,10,0,0,0,10,Overcast,cloudy,"EDDB,E2835"
Berlin,2025-05-22T06:00:00,10,7.1,4,66.28,0,0,,0,0,30.6,22.3,290,1008,25,10,17,0.1,0,10,Partially cloudy,partly-cloudy-day,"EDDB,E2835"
Berlin,2025-05-22T07:00:00,10,7.5,4,66.28,0,0,,0,0,29.2,18.4,280,1008,88,10,77,0.3,1,10,Partially cloudy,partly-cloudy-day,"EDDB,E2835"
Berlin,2025-05-22T08:00:00,10,7.5,4,66.28,0,0,,0,0,32.8,18.4,290,1008,50,10,143,0.5,1,10,Partially cloudy,partly-cloudy-day,"EDDB,E2835"
Berlin,2025-05-22T09:00:00,11,11,4,62,0,0,,0,0,34.2,20.5,280,1008,50,10,282,1,3,10,Partially cloudy,partly-cloudy-day,"EDDB,E2835"
